MSOA21CD,IMD Decile
E02000484,8
E02000485,7
E02000486,8
E02000487,10
E02000488,9
E02000489,6
E02000490,6
E02000491,4
E02000492,6
E02000493,4
E02000494,8
E02000495,6
E02000496,4
E02000497,7
E02000498,8
E02000499,9
E02000500,7
E02000501,9
E02000502,8
E02000503,9
E02000504,10
E02000506,8
E02000507,7
E02000508,6
E02000509,3
E02000510,6
E02000511,4
E02000512,3
E02000513,3
E02000514,4
E02000515,4
E02000516,4
E02000517,3
E02000518,3
E02000519,3
E02000520,3
E02000521,3
E02000522,3
E02000523,4
E02000524,2
E02000525,3
E02000526,8
E02000529,3
E02000530,2
E02000531,3
E02000532,7
E02000533,6
E02000534,6
E02000535,4
E02000536,4
E02000537,6
E02000538,3
E02000539,5
E02000540,4
E02000541,3
E02000542,3
E02000543,3
E02000544,6
E02000545,4
E02000546,3
E02000547,3
E02000548,3
E02000549,3
E02000550,4
E02000551,2
E02000552,4
E02000553,4
E02000554,2
E02000555,3
E02000556,3
E02000557,4
E02000558,2
E02000559,6
E02000560,3
E02000561,6
E02000562,5
E02000563,3
E02000564,4
E02000565,4
E02000566,5
E02000567,3
E02000568,3
E02000569,3
E02000570,5
E02000571,3
E02000572,3
E02000573,5
E02000574,4
E02000575,5
E02000576,4
E02000577,2
E02000578,2
E02000579,4
E02000580,4
E02000581,2
E02000582,6
E02000583,7
E02000584,8
E02000585,7
E02000586,8
E02000587,8
E02000588,7
E02000589,7
E02000590,5
E02000591,4
E02000592,7
E02000593,6
E02000594,6
E02000595,8
E02000596,8
E02000597,3
E02000598,10
E02000599,9
E02000600,7
E02000601,8
E02000602,7
E02000603,6
E02000604,7
E02000605,8
E02000606,8
E02000607,9
E02000608,6
E02000609,7
E02000610,8
E02000611,10
E02000612,9
E02000613,8
E02000614,6
E02000615,8
E02000616,9
E02000617,6
E02000619,4
E02000620,4
E02000621,5
E02000622,4
E02000623,5
E02000624,4
E02000625,4
E02000626,2
E02000627,4
E02000628,4
E02000629,5
E02000630,7
E02000631,5
E02000632,6
E02000633,3
E02000634,4
E02000635,5
E02000636,7
E02000637,5
E02000638,4
E02000639,4
E02000640,7
E02000641,3
E02000642,5
E02000643,6
E02000644,5
E02000645,4
E02000646,4
E02000647,6
E02000648,2
E02000649,4
E02000650,4
E02000651,4
E02000652,4
E02000653,5
E02000654,2
E02000655,3
E02000657,4
E02000658,4
E02000659,5
E02000660,3
E02000661,7
E02000662,4
E02000663,5
E02000665,5
E02000666,5
E02000667,6
E02000668,6
E02000669,4
E02000670,2
E02000671,5
E02000672,3
E02000673,5
E02000674,5
E02000675,5
E02000676,5
E02000677,3
E02000678,3
E02000679,3
E02000680,4
E02000681,3
E02000682,3
E02000683,3
E02000685,4
E02000686,2
E02000687,4
E02000689,8
E02000690,10
E02000691,8
E02000692,9
E02000693,8
E02000694,8
E02000695,5
E02000696,5
E02000697,9
E02000698,10
E02000699,10
E02000700,4
E02000701,4
E02000702,4
E02000703,9
E02000704,7
E02000705,6
E02000706,4
E02000707,4
E02000708,8
E02000709,10
E02000710,4
E02000711,5
E02000712,6
E02000713,8
E02000714,3
E02000715,2
E02000716,2
E02000717,1
E02000718,2
E02000719,2
E02000720,3
E02000721,2
E02000722,3
E02000723,3
E02000724,3
E02000725,3
E02000727,3
E02000728,3
E02000729,3
E02000730,3
E02000731,2
E02000732,3
E02000733,3
E02000734,2
E02000735,2
E02000736,3
E02000737,2
E02000738,4
E02000739,3
E02000740,3
E02000741,2
E02000742,2
E02000743,2
E02000744,2
E02000745,3
E02000746,3
E02000747,3
E02000748,3
E02000749,2
E02000751,7
E02000752,4
E02000753,4
E02000754,7
E02000755,6
E02000756,6
E02000757,8
E02000758,6
E02000759,7
E02000760,5
E02000762,7
E02000763,5
E02000764,8
E02000765,6
E02000767,6
E02000768,9
E02000770,5
E02000772,4
E02000773,6
E02000774,4
E02000776,4
E02000777,7
E02000779,2
E02000781,5
E02000782,2
E02000783,3
E02000784,8
E02000785,8
E02000786,6
E02000787,7
E02000788,8
E02000789,8
E02000790,10
E02000791,8
E02000792,9
E02000793,7
E02000794,10
E02000795,9
E02000796,6
E02000797,8
E02000798,8
E02000799,9
E02000800,7
E02000801,10
E02000802,9
E02000803,7
E02000804,10
E02000805,8
E02000806,8
E02000807,8
E02000808,6
E02000810,3
E02000812,3
E02000813,4
E02000814,6
E02000815,5
E02000816,3
E02000817,2
E02000818,4
E02000819,3
E02000820,5
E02000821,3
E02000822,3
E02000823,4
E02000824,3
E02000825,3
E02000826,4
E02000827,3
E02000828,2
E02000829,3
E02000830,5
E02000831,4
E02000832,4
E02000833,5
E02000834,6
E02000835,6
E02000836,7
E02000837,7
E02000838,6
E02000839,6
E02000840,3
E02000841,3
E02000842,8
E02000843,7
E02000844,5
E02000845,7
E02000846,8
E02000847,9
E02000848,9
E02000849,7
E02000850,7
E02000851,4
E02000852,7
E02000853,7
E02000854,7
E02000855,9
E02000856,7
E02000857,8
E02000858,3
E02000859,6
E02000860,6
E02000861,10
E02000863,8
E02000864,3
E02000865,2
E02000866,4
E02000867,5
E02000868,4
E02000869,3
E02000870,3
E02000871,2
E02000872,2
E02000873,3
E02000874,2
E02000875,3
E02000876,2
E02000877,3
E02000878,4
E02000879,2
E02000880,1
E02000881,3
E02000882,2
E02000883,2
E02000884,5
E02000885,1
E02000886,4
E02000887,1
E02000888,3
E02000889,6
E02000890,9
E02000893,4
E02000894,6
E02000895,5
